EEPROM load failed
State Init -> Monitoring
Cfg thresholds | az 10.000000 | alt 5.000000
Cfg windows | detect 2.000000 | validate 5.000000 | hold_min 60.000000
ThresholdCross | yaw 10.111158 | pitch 0.000000
State Monitoring -> Validation
ThresholdCross | yaw 10.229744 | pitch 0.000000
ThresholdCross | yaw 10.338476 | pitch 0.000000
ThresholdCross | yaw 10.438173 | pitch 0.000000
ThresholdCross | yaw 10.529587 | pitch 0.000000
ThresholdCross | yaw 10.613404 | pitch 0.000000
ThresholdCross | yaw 10.690257 | pitch 0.000000
ThresholdCross | yaw 10.760724 | pitch 0.000000
ThresholdCross | yaw 10.825336 | pitch 0.000000
ThresholdCross | yaw 10.884579 | pitch 0.000000
ThresholdCross | yaw 10.938899 | pitch 0.000000
ThresholdCross | yaw 10.988706 | pitch 0.000000
ThresholdCross | yaw 11.034373 | pitch 0.000000
ThresholdCross | yaw 11.076246 | pitch 0.000000
ThresholdCross | yaw 11.114640 | pitch 0.000000
ThresholdCross | yaw 11.149844 | pitch 0.000000
ThresholdCross | yaw 11.182123 | pitch 0.000000
ThresholdCross | yaw 11.211720 | pitch 0.000000
ThresholdCross | yaw 11.238856 | pitch 0.000000
ThresholdCross | yaw 11.263739 | pitch 0.000000
ThresholdCross | yaw 11.286553 | pitch 0.000000
ThresholdCross | yaw 11.307472 | pitch 0.000000
ThresholdCross | yaw 11.326653 | pitch 0.000000
ThresholdCross | yaw 11.344240 | pitch 0.000000
ThresholdCross | yaw 11.360366 | pitch 0.000000
ThresholdCross | yaw 11.375152 | pitch 0.000000
ThresholdCross | yaw 11.388709 | pitch 0.000000
ThresholdCross | yaw 11.401139 | pitch 0.000000
ThresholdCross | yaw 11.412537 | pitch 0.000000
ThresholdCross | yaw 11.422987 | pitch 0.000000
ThresholdCross | yaw 11.432570 | pitch 0.000000
ThresholdCross | yaw 11.441356 | pitch 0.000000
ThresholdCross | yaw 11.449411 | pitch 0.000000
ThresholdCross | yaw 11.456799 | pitch 0.000000
ThresholdCross | yaw 11.463572 | pitch 0.000000
ThresholdCross | yaw 11.469782 | pitch 0.000000
ThresholdCross | yaw 11.475476 | pitch 0.000000
ThresholdCross | yaw 11.480698 | pitch 0.000000
ThresholdCross | yaw 11.485485 | pitch 0.000000
ThresholdCross | yaw 11.489874 | pitch 0.000000
ThresholdCross | yaw 11.493898 | pitch 0.000000
ThresholdCross | yaw 11.497588 | pitch 0.000000
ThresholdCross | yaw 11.500972 | pitch 0.000000
ThresholdCross | yaw 11.504074 | pitch 0.000000
ThresholdCross | yaw 11.506919 | pitch 0.000000
ThresholdCross | yaw 11.509527 | pitch 0.000000
ThresholdCross | yaw 11.511919 | pitch 0.000000
ThresholdCross | yaw 11.514112 | pitch 0.000000
ThresholdCross | yaw 11.516122 | pitch 0.000000
ThresholdCross | yaw 11.517965 | pitch 0.000000
ThresholdCross | yaw 11.519655 | pitch 0.000000
ThresholdCross | yaw 11.521205 | pitch 0.000000
ThresholdCross | yaw 11.522626 | pitch 0.000000
ThresholdCross | yaw 11.523929 | pitch 0.000000
ThresholdCross | yaw 11.525124 | pitch 0.000000
ThresholdCross | yaw 11.526219 | pitch 0.000000
ThresholdCross | yaw 11.527224 | pitch 0.000000
ThresholdCross | yaw 11.528145 | pitch 0.000000
ThresholdCross | yaw 11.528990 | pitch 0.000000
ThresholdCross | yaw 11.529764 | pitch 0.000000
ThresholdCross | yaw 11.530474 | pitch 0.000000
ThresholdCross | yaw 11.531125 | pitch 0.000000
ThresholdCross | yaw 11.531722 | pitch 0.000000
ThresholdCross | yaw 11.532269 | pitch 0.000000
ThresholdCross | yaw 11.532771 | pitch 0.000000
ThresholdCross | yaw 11.533231 | pitch 0.000000
ThresholdCross | yaw 11.533652 | pitch 0.000000
ThresholdCross | yaw 11.534039 | pitch 0.000000
ThresholdCross | yaw 11.534394 | pitch 0.000000
ThresholdCross | yaw 11.534719 | pitch 0.000000
ThresholdCross | yaw 11.535018 | pitch 0.000000
ThresholdCross | yaw 11.535292 | pitch 0.000000
ThresholdCross | yaw 11.535542 | pitch 0.000000
ThresholdCross | yaw 11.535772 | pitch 0.000000
ThresholdCross | yaw 11.535983 | pitch 0.000000
ThresholdCross | yaw 11.536177 | pitch 0.000000
ThresholdCross | yaw 11.536354 | pitch 0.000000
ThresholdCross | yaw 11.536516 | pitch 0.000000
ThresholdCross | yaw 11.536665 | pitch 0.000000
ThresholdCross | yaw 11.536801 | pitch 0.000000
ThresholdCross | yaw 11.536926 | pitch 0.000000
ThresholdCross | yaw 11.537041 | pitch 0.000000
ThresholdCross | yaw 11.537146 | pitch 0.000000
ThresholdCross | yaw 11.537242 | pitch 0.000000
ThresholdCross | yaw 11.537331 | pitch 0.000000
ThresholdCross | yaw 11.537412 | pitch 0.000000
ThresholdCross | yaw 11.537486 | pitch 0.000000
ThresholdCross | yaw 11.537555 | pitch 0.000000
ThresholdCross | yaw 11.537618 | pitch 0.000000
ThresholdCross | yaw 11.537675 | pitch 0.000000
ThresholdCross | yaw 11.537727 | pitch 0.000000
ThresholdCross | yaw 11.537776 | pitch 0.000000
ThresholdCross | yaw 11.537820 | pitch 0.000000
ThresholdCross | yaw 11.537861 | pitch 0.000000
ThresholdCross | yaw 11.537898 | pitch 0.000000
ThresholdCross | yaw 11.537932 | pitch 0.000000
ThresholdCross | yaw 11.537964 | pitch 0.000000
ThresholdCross | yaw 11.537992 | pitch 0.000000
ThresholdCross | yaw 11.538019 | pitch 0.000000
ThresholdCross | yaw 11.538043 | pitch 0.000000
ThresholdCross | yaw 11.538065 | pitch 0.000000
ThresholdCross | yaw 11.538085 | pitch 0.000000
ThresholdCross | yaw 11.538103 | pitch 0.000000
ThresholdCross | yaw 11.538120 | pitch 0.000000
ThresholdCross | yaw 11.538136 | pitch 0.000000
ThresholdCross | yaw 11.538150 | pitch 0.000000
ThresholdCross | yaw 11.538163 | pitch 0.000000
ThresholdCross | yaw 11.538176 | pitch 0.000000
ThresholdCross | yaw 11.538187 | pitch 0.000000
ThresholdCross | yaw 11.538198 | pitch 0.000000
ThresholdCross | yaw 11.538207 | pitch 0.000000
ThresholdCross | yaw 11.538216 | pitch 0.000000
ThresholdCross | yaw 11.538223 | pitch 0.000000
ThresholdCross | yaw 11.538230 | pitch 0.000000
ThresholdCross | yaw 11.538237 | pitch 0.000000
ThresholdCross | yaw 11.538242 | pitch 0.000000
ThresholdCross | yaw 11.538248 | pitch 0.000000
ThresholdCross | yaw 11.538253 | pitch 0.000000
ThresholdCross | yaw 11.538258 | pitch 0.000000
ThresholdCross | yaw 11.538261 | pitch 0.000000
ThresholdCross | yaw 11.538265 | pitch 0.000000
ThresholdCross | yaw 11.538269 | pitch 0.000000
ThresholdCross | yaw 11.538272 | pitch 0.000000
ThresholdCross | yaw 11.538275 | pitch 0.000000
ThresholdCross | yaw 11.538278 | pitch 0.000000
ThresholdCross | yaw 11.538280 | pitch 0.000000
ThresholdCross | yaw 11.538282 | pitch 0.000000
ThresholdCross | yaw 11.538284 | pitch 0.000000
ThresholdCross | yaw 11.538286 | pitch 0.000000
ThresholdCross | yaw 11.538288 | pitch 0.000000
ThresholdCross | yaw 11.538290 | pitch 0.000000
ThresholdCross | yaw 11.538292 | pitch 0.000000
ThresholdCross | yaw 11.538293 | pitch 0.000000
ThresholdCross | yaw 11.538294 | pitch 0.000000
ThresholdCross | yaw 11.538295 | pitch 0.000000
ThresholdCross | yaw 11.538296 | pitch 0.000000
ThresholdCross | yaw 11.538297 | pitch 0.000000
ThresholdCross | yaw 11.538298 | pitch 0.000000
ThresholdCross | yaw 11.538299 | pitch 0.000000
ThresholdCross | yaw 11.538300 | pitch 0.000000
ThresholdCross | yaw 11.538301 | pitch 0.000000
ThresholdCross | yaw 11.538301 | pitch 0.000000
ThresholdCross | yaw 11.538302 | pitch 0.000000
ThresholdCross | yaw 11.538303 | pitch 0.000000
ThresholdCross | yaw 11.538303 | pitch 0.000000
ThresholdCross | yaw 11.538303 | pitch 0.000000
ThresholdCross | yaw 11.538303 | pitch 0.000000
ThresholdCross | yaw 11.538303 | pitch 0.000000
ThresholdCross | yaw 11.538303 | pitch 0.000000
ThresholdCross | yaw 11.538303 | pitch 0.000000
ThresholdCross | yaw 11.538303 | pitch 0.000000
ThresholdCross | yaw 11.538303 | pitch 0.000000
ThresholdCross | yaw 11.538303 | pitch 0.000000
ThresholdCross | yaw 11.538303 | pitch 0.000000
ThresholdCross | yaw 11.538303 | pitch 0.000000
ThresholdCross | yaw 11.538303 | pitch 0.000000
ThresholdCross | yaw 11.538303 | pitch 0.000000
ThresholdCross | yaw 11.538303 | pitch 0.000000
ThresholdCross | yaw 11.538303 | pitch 0.000000
ThresholdCross | yaw 11.538303 | pitch 0.000000
ThresholdCross | yaw 11.538303 | pitch 0.000000
ThresholdCross | yaw 11.538303 | pitch 0.000000
ThresholdCross | yaw 11.538303 | pitch 0.000000
ThresholdCross | yaw 11.538303 | pitch 0.000000
ThresholdCross | yaw 11.538303 | pitch 0.000000
ThresholdCross | yaw 11.538303 | pitch 0.000000
ThresholdCross | yaw 11.538303 | pitch 0.000000
ThresholdCross | yaw 11.538303 | pitch 0.000000
ThresholdCross | yaw 11.538303 | pitch 0.000000
ThresholdCross | yaw 11.538303 | pitch 0.000000
ThresholdCross | yaw 11.538303 | pitch 0.000000
ThresholdCross | yaw 11.538303 | pitch 0.000000
ThresholdCross | yaw 11.538303 | pitch 0.000000
ThresholdCross | yaw 11.538303 | pitch 0.000000
ThresholdCross | yaw 11.538303 | pitch 0.000000
ThresholdCross | yaw 11.538303 | pitch 0.000000
ThresholdCross | yaw 11.538303 | pitch 0.000000
ThresholdCross | yaw 11.538303 | pitch 0.000000
ThresholdCross | yaw 11.538303 | pitch 0.000000
ThresholdCross | yaw 11.538303 | pitch 0.000000
ThresholdCross | yaw 11.538303 | pitch 0.000000
ThresholdCross | yaw 11.538303 | pitch 0.000000
ThresholdCross | yaw 11.538303 | pitch 0.000000
ThresholdCross | yaw 11.538303 | pitch 0.000000
ThresholdCross | yaw 11.538303 | pitch 0.000000
ThresholdCross | yaw 11.538303 | pitch 0.000000
ThresholdCross | yaw 11.538303 | pitch 0.000000
ThresholdCross | yaw 11.538303 | pitch 0.000000
ThresholdCross | yaw 11.538303 | pitch 0.000000
ThresholdCross | yaw 11.538303 | pitch 0.000000
ThresholdCross | yaw 11.538303 | pitch 0.000000
ThresholdCross | yaw 11.538303 | pitch 0.000000
ThresholdCross | yaw 11.538303 | pitch 0.000000
ThresholdCross | yaw 11.538303 | pitch 0.000000
ThresholdCross | yaw 11.538303 | pitch 0.000000
ThresholdCross | yaw 11.538303 | pitch 0.000000
ThresholdCross | yaw 11.538303 | pitch 0.000000
ThresholdCross | yaw 11.538303 | pitch 0.000000
ThresholdCross | yaw 11.538303 | pitch 0.000000
ThresholdCross | yaw 11.538303 | pitch 0.000000
ThresholdCross | yaw 11.538303 | pitch 0.000000
ThresholdCross | yaw 11.538303 | pitch 0.000000
ThresholdCross | yaw 11.538303 | pitch 0.000000
ThresholdCross | yaw 11.538303 | pitch 0.000000
ThresholdCross | yaw 11.538303 | pitch 0.000000
ThresholdCross | yaw 11.538303 | pitch 0.000000
ThresholdCross | yaw 11.538303 | pitch 0.000000
ThresholdCross | yaw 11.538303 | pitch 0.000000
ThresholdCross | yaw 11.538303 | pitch 0.000000
ThresholdCross | yaw 11.538303 | pitch 0.000000
ThresholdCross | yaw 11.538303 | pitch 0.000000
ThresholdCross | yaw 11.538303 | pitch 0.000000
ThresholdCross | yaw 11.538303 | pitch 0.000000
ThresholdCross | yaw 11.538303 | pitch 0.000000
ThresholdCross | yaw 11.538303 | pitch 0.000000
ThresholdCross | yaw 11.538303 | pitch 0.000000
ThresholdCross | yaw 11.538303 | pitch 0.000000
ThresholdCross | yaw 11.538303 | pitch 0.000000
ThresholdCross | yaw 11.538303 | pitch 0.000000
ThresholdCross | yaw 11.538303 | pitch 0.000000
ThresholdCross | yaw 11.538303 | pitch 0.000000
ThresholdCross | yaw 11.538303 | pitch 0.000000
ThresholdCross | yaw 11.538303 | pitch 0.000000
ThresholdCross | yaw 11.538303 | pitch 0.000000
ThresholdCross | yaw 11.538303 | pitch 0.000000
ThresholdCross | yaw 11.538303 | pitch 0.000000
ThresholdCross | yaw 11.538303 | pitch 0.000000
ThresholdCross | yaw 11.538303 | pitch 0.000000
ThresholdCross | yaw 11.538303 | pitch 0.000000
ThresholdCross | yaw 11.538303 | pitch 0.000000
ThresholdCross | yaw 11.538303 | pitch 0.000000
ThresholdCross | yaw 11.538303 | pitch 0.000000
ThresholdCross | yaw 11.538303 | pitch 0.000000
ThresholdCross | yaw 11.538303 | pitch 0.000000
ThresholdCross | yaw 11.538303 | pitch 0.000000
ThresholdCross | yaw 11.538303 | pitch 0.000000
ThresholdCross | yaw 11.538303 | pitch 0.000000
ThresholdCross | yaw 11.538303 | pitch 0.000000
ThresholdCross | yaw 11.538303 | pitch 0.000000
